extension_kernel_id,workload,domain,repetition,iterations,logical_units,actual_cu,cu_per_unit,elapsed_ns,ns_per_unit,cm31_mul_ops,cm31_square_ops,cm31_inv_ops,qm31_mul_ops,qm31_square_ops,qm31_inv_ops
karatsuba,qm31_mul_const,sbf,2,256,256,349741,1366.17578125,,,512,0,0,0,0,0
karatsuba,qm31_inv,host,0,24,24,,,33000,1375.0,72,48,24,0,0,24
karatsuba,qm31_inv,sbf,0,24,24,114739,4780.791666666667,,,72,48,24,0,0,24
karatsuba,qm31_inv,host,1,24,24,,,34750,1447.9166666666667,72,48,24,0,0,24
karatsuba,qm31_inv,sbf,1,24,24,114739,4780.791666666667,,,72,48,24,0,0,24
karatsuba,qm31_inv,host,2,24,24,,,28500,1187.5,72,48,24,0,0,24
karatsuba,qm31_inv,sbf,2,24,24,114739,4780.791666666667,,,72,48,24,0,0,24
karatsuba,skeleton_accumulator,host,0,96,96,,,169333,1763.8854166666667,1056,384,96,96,96,96
karatsuba,skeleton_accumulator,sbf,0,96,96,665859,6936.03125,,,1056,384,96,96,96,96
karatsuba,skeleton_accumulator,host,1,96,96,,,184750,1924.4791666666667,1056,384,96,96,96,96
karatsuba,skeleton_accumulator,sbf,1,96,96,665859,6936.03125,,,1056,384,96,96,96,96
karatsuba,skeleton_accumulator,host,2,96,96,,,170167,1772.5729166666667,1056,384,96,96,96,96
karatsuba,skeleton_accumulator,sbf,2,96,96,665859,6936.03125,,,1056,384,96,96,96,96
