scenario_name,protocol_family,soundness_assumption,security_target_bits,cost_scenario_name,rate_parameter_name,log_rate,reciprocal_rate,grinding_bits,minimum_secure_query_count,total_explicit_query_count,chunk_size,proof_bytes,predicted_cu,lower_cu,upper_cu,verification_core_cu,transport_overhead_cu,cu_budget_fraction,proof_transport_pressure,assumption_qualified_feasible,assumption_feasibility_reasons,lower_bound_model_feasible,lower_bound_model_feasibility_reasons
qualified-circle-t100-r4-g8-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,2,4,8,46,46,640,15104,6734314.009958,6675292.614668,6793335.405247,6717419.685998,16894.323959,4.810224,12.259740,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,2,4,8,46,46,640,15104,5263383.223103,5204361.827813,5322404.618392,5246488.899143,16894.323959,3.759559,12.259740,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g8-fri_conjectured-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,2,4,8,46,46,640,15104,5263383.223103,5204361.827813,5322404.618392,5246488.899143,16894.323959,3.759559,12.259740,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_proven-baseline,Circle,fri_proven,100.0,baseline,log_blowup,2,4,16,84,84,640,23616,11187117.185068,11128095.789778,11246138.580357,11161195.159143,25922.025924,7.990798,19.168831,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_proven-fenzi_whir_core_0p8,Circle,fri_proven,100.0,fenzi_whir_core_0p8,log_blowup,2,4,16,84,84,640,23616,11187117.185068,11128095.789778,11246138.580357,11161195.159143,25922.025924,7.990798,19.168831,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_proven-m31_mul_0p75,Circle,fri_proven,100.0,m31_mul_0p75,log_blowup,2,4,16,84,84,640,23616,8665016.963073,8605995.567783,8724038.358362,8639094.937148,25922.025924,6.189298,19.168831,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_proven-fenzi_whir_core_0p8_plus_m31_mul_0p75,Circle,fri_proven,100.0,fenzi_whir_core_0p8_plus_m31_mul_0p75,log_blowup,2,4,16,84,84,640,23616,8665016.963073,8605995.567783,8724038.358362,8639094.937148,25922.025924,6.189298,19.168831,false,predicted CU exceeds the transaction compute budget; fri_proven soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_conjectured-baseline,Circle,fri_conjectured,100.0,baseline,log_blowup,2,4,16,42,42,640,14208,6265662.391150,6206640.995860,6324683.786439,6249653.846720,16008.544430,4.475473,11.532468,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_conjectured-fenzi_whir_core_0p8,Circle,fri_conjectured,100.0,fenzi_whir_core_0p8,log_blowup,2,4,16,42,42,640,14208,6265662.391150,6206640.995860,6324683.786439,6249653.846720,16008.544430,4.475473,11.532468,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
qualified-circle-t100-r4-g16-fri_conjectured-m31_mul_0p75,Circle,fri_conjectured,100.0,m31_mul_0p75,log_blowup,2,4,16,42,42,640,14208,4905381.018520,4846359.623231,4964402.413810,4889372.474090,16008.544430,3.503844,11.532468,false,predicted CU exceeds the transaction compute budget; fri_conjectured soundness term 100.0 bits is below the 128.0-bit target,false,predicted CU exceeds the transaction compute budget
